imageleft,imageright,expression1,expression2
140_y_f_h_a.jpg,140_y_f_s_a.jpg,happy,sad
140_y_f_h_a.jpg,140_y_f_s_b.jpg,happy,sad
140_y_f_h_a.jpg,140_y_f_n_b.jpg,happy,neutral
140_y_f_h_a.jpg,140_y_f_n_a.jpg,happy,neutral
140_y_f_h_b.jpg,140_y_f_s_a.jpg,happy,sad
140_y_f_h_b.jpg,140_y_f_s_b.jpg,happy,sad
140_y_f_h_b.jpg,140_y_f_n_b.jpg,happy,neutral
140_y_f_h_b.jpg,140_y_f_n_a.jpg,happy,neutral
140_y_f_s_a.jpg,140_y_f_h_a.jpg,sad,happy
140_y_f_s_a.jpg,140_y_f_h_b.jpg,sad,happy
140_y_f_s_a.jpg,140_y_f_n_b.jpg,sad,neutral
140_y_f_s_a.jpg,140_y_f_n_a.jpg,sad,neutral
140_y_f_s_b.jpg,140_y_f_h_a.jpg,sad,happy
140_y_f_s_b.jpg,140_y_f_h_b.jpg,sad,happy
140_y_f_s_b.jpg,140_y_f_n_b.jpg,sad,neutral
140_y_f_s_b.jpg,140_y_f_n_a.jpg,sad,neutral
140_y_f_n_b.jpg,140_y_f_h_a.jpg,neutral,happy
140_y_f_n_b.jpg,140_y_f_h_b.jpg,neutral,happy
140_y_f_n_b.jpg,140_y_f_s_a.jpg,neutral,sad
140_y_f_n_b.jpg,140_y_f_s_b.jpg,neutral,sad
140_y_f_n_a.jpg,140_y_f_h_a.jpg,neutral,happy
140_y_f_n_a.jpg,140_y_f_h_b.jpg,neutral,happy
140_y_f_n_a.jpg,140_y_f_s_a.jpg,neutral,sad
140_y_f_n_a.jpg,140_y_f_s_b.jpg,neutral,sad
